13F	0001364742	BlackRockInc.	2018-05-09
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
DRIVE SHACK INC	COM	262077100	1035		216610	SH	SOLE	18		216610	0	0
DRIVE SHACK INC	COM	262077100	181		37862	SH	SOLE	19		37862	0	0
DRIVE SHACK INC	COM	262077100	9918		2074953	SH	SOLE	21		2074953	0	0
DRIVE SHACK INC	COM	262077100	3013		630267	SH	SOLE	22		575228	0	55039
DROPBOX INC	CL A	26210C104	3164		101238	SH	SOLE	4		101238	0	0
DROPBOX INC	CL A	26210C104	24955		798564	SH	SOLE	18		798564	0	0
DROPBOX INC	CL A	26210C104	226597		7251129	SH	SOLE	19		7251129	0	0
DROPBOX INC	CL A	26210C104	3250		103997	SH	SOLE	22		103997	0	0
DROPBOX INC	CL A	26210C104	333		10649	SH	SOLE	26		2009	0	8640
DROPBOX INC	CL A	26210C104	69110		2211526	SH	SOLE	34		2211526	0	0
DROPCAR INC	COM	26210U104	28		13539	SH	SOLE	22		13539	0	0
DSP GROUP INC	COM	23332B106	74		6313	SH	SOLE	2		1058	0	5255
DSP GROUP INC	COM	23332B106	1231		104302	SH	SOLE	18		104302	0	0
DSP GROUP INC	COM	23332B106	210		17780	SH	SOLE	19		17780	0	0
DSP GROUP INC	COM	23332B106	25243		2139201	SH	SOLE	21		2139201	0	0
DSP GROUP INC	COM	23332B106	8600		728788	SH	SOLE	22		700327	0	28461
DSP GROUP INC	COM	23332B106	300		25392	SH	SOLE	30		25392	0	0
DST SYS INC DEL	COM	233326107	5261		62896	SH	SOLE	2		33880	0	29016
DST SYS INC DEL	COM	233326107	25		298	SH	SOLE	4		298	0	0
DST SYS INC DEL	COM	233326107	150		1796	SH	SOLE	7		1796	0	0
DST SYS INC DEL	COM	233326107	16596		198398	SH	SOLE	18		198398	0	0
DST SYS INC DEL	COM	233326107	747		8926	SH	SOLE	19		8926	0	0
DST SYS INC DEL	COM	233326107	223242		2668763	SH	SOLE	21		2668763	0	0
DST SYS INC DEL	COM	233326107	163246		1951538	SH	SOLE	22		1737472	0	214066
DST SYS INC DEL	COM	233326107	1608		19224	SH	SOLE	26		10770	0	8454
DST SYS INC DEL	COM	233326107	697		8331	SH	SOLE	28		8331	0	0
DST SYS INC DEL	COM	233326107	5626		67260	SH	SOLE	30		67260	0	0
DST SYS INC DEL	COM	233326107	112		1333	SH	SOLE	31		1333	0	0
DST SYS INC DEL	COM	233326107	220		2626	SH	SOLE	36		2626	0	0
DST SYS INC DEL	COM	233326107	592		7083	SH	SOLE	40		7083	0	0
DSW INC	CL A	23334L102	313		13942	SH	SOLE	2		2750	0	11192
DSW INC	CL A	23334L102	9		415	SH	SOLE	4		415	0	0
DSW INC	CL A	23334L102	77		3418	SH	SOLE	7		3418	0	0
DSW INC	CL A	23334L102	6850		304999	SH	SOLE	18		304999	0	0
DSW INC	CL A	23334L102	1150		51209	SH	SOLE	19		51209	0	0
DSW INC	CL A	23334L102	146785		6535390	SH	SOLE	21		6535390	0	0
DSW INC	CL A	23334L102	43252		1925744	SH	SOLE	22		1779418	0	146326
DSW INC	CL A	23334L102	475		21146	SH	SOLE	26		5224	0	15922
DSW INC	CL A	23334L102	182		8113	SH	SOLE	28		8113	0	0
DSW INC	CL A	23334L102	2243		99852	SH	SOLE	30		99852	0	0
DSW INC	CL A	23334L102	186		8260	SH	SOLE	36		8260	0	0
DSW INC	CL A	23334L102	191		8520	SH	SOLE	40		8520	0	0
DTE ENERGY CO	COM	233331107	52609		503918	SH	SOLE	2		336338	0	167580
DTE ENERGY CO	COM	233331107	12495		119688	SH	SOLE	4		114575	0	5113
DTE ENERGY CO	COM	233331107	18591		178079	SH	SOLE	7		163009	0	15070
DTE ENERGY CO	COM	233331107	1594		15269	SH	SOLE	13		15269	0	0
DTE ENERGY CO	COM	233331107	132		1260	SH	SOLE	15		1260	0	0
DTE ENERGY CO	COM	233331107	50291		481714	SH	SOLE	18		457475	0	24239
DTE ENERGY CO	COM	233331107	28494		272931	SH	SOLE	19		272931	0	0
DTE ENERGY CO	COM	233331107	10950		104885	SH	SOLE	20		0	0	104885
DTE ENERGY CO	COM	233331107	656261		6286029	SH	SOLE	21		6286029	0	0
DTE ENERGY CO	COM	233331107	584652		5600114	SH	SOLE	22		4360500	0	1239614
DTE ENERGY CO	COM	233331107	31146		298332	SH	SOLE	23		298332	0	0
DTE ENERGY CO	COM	233331107	14806		141821	SH	SOLE	25		141821	0	0
DTE ENERGY CO	COM	233331107	47205		452159	SH	SOLE	26		169750	0	282409
DTE ENERGY CO	COM	233331107	2830		27111	SH	SOLE	28		27111	0	0
DTE ENERGY CO	COM	233331107	9346		89520	SH	SOLE	29		44790	0	44730
DTE ENERGY CO	COM	233331107	64800		620691	SH	SOLE	30		620691	0	0
DTE ENERGY CO	COM	233331107	18821		180281	SH	SOLE	31		110306	0	69975
DTE ENERGY CO	COM	233331107	4203		40261	SH	SOLE	32		40261	0	0
DTE ENERGY CO	COM	233331107	3486		33394	SH	SOLE	34		33394	0	0
DTE ENERGY CO	COM	233331107	9752		93410	SH	SOLE	35		93410	0	0
DTE ENERGY CO	COM	233331107	24206		231854	SH	SOLE	36		231854	0	0
DTE ENERGY CO	COM	233331107	376		3599	SH	SOLE	40		3599	0	0
DUCOMMUN INC DEL	COM	264147109	13		435	SH	SOLE	2		435	0	0
DUCOMMUN INC DEL	COM	264147109	8		263	SH	SOLE	7		263	0	0
DUCOMMUN INC DEL	COM	264147109	1118		36797	SH	SOLE	18		36797	0	0
DUCOMMUN INC DEL	COM	264147109	253		8320	SH	SOLE	19		8320	0	0
DUCOMMUN INC DEL	COM	264147109	10517		346169	SH	SOLE	21		346169	0	0
DUCOMMUN INC DEL	COM	264147109	9526		313563	SH	SOLE	22		297503	0	16060
DUKE ENERGY CORP NEW	COM NEW	26441C204	66720		861239	SH	SOLE	2		208365	0	652874
DUKE ENERGY CORP NEW	COM NEW	26441C204	20073		259110	SH	SOLE	4		240437	0	18673
DUKE ENERGY CORP NEW	COM NEW	26441C204	47719		615965	SH	SOLE	7		583661	0	32304
DUKE ENERGY CORP NEW	COM NEW	26441C204	1540		19885	SH	SOLE	13		19885	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	411		5306	SH	SOLE	15		5306	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	99256		1281224	SH	SOLE	18		1189184	0	92040
DUKE ENERGY CORP NEW	COM NEW	26441C204	15587		201195	SH	SOLE	19		201195	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	21089		272227	SH	SOLE	20		0	0	272227
DUKE ENERGY CORP NEW	COM NEW	26441C204	1180129		15233374	SH	SOLE	21		15233374	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	1528519		19730464	SH	SOLE	22		16110375	0	3620089
DUKE ENERGY CORP NEW	COM NEW	26441C204	66255		855236	SH	SOLE	23		855236	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	45356		585463	SH	SOLE	25		585463	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	149381		1928248	SH	SOLE	26		647120	0	1281128
DUKE ENERGY CORP NEW	COM NEW	26441C204	8195		105786	SH	SOLE	28		105786	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	1470		18972	SH	SOLE	29		18972	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	189388		2444658	SH	SOLE	30		2444658	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	26706		344723	SH	SOLE	31		133641	0	211082
DUKE ENERGY CORP NEW	COM NEW	26441C204	2565		33107	SH	SOLE	34		33107	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	12897		166481	SH	SOLE	35		166481	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	64006		826206	SH	SOLE	36		826206	0	0
DUKE ENERGY CORP NEW	COM NEW	26441C204	1088		14050	SH	SOLE	40		14050	0	0
DUKE REALTY CORP	COM NEW	264411505	46020		1737913	SH	SOLE	2		468311	0	1269602
DUKE REALTY CORP	COM NEW	264411505	12211		461149	SH	SOLE	4		452100	0	9049
DUKE REALTY CORP	COM NEW	264411505	22310		842522	SH	SOLE	7		813919	0	28603
DUKE REALTY CORP	COM NEW	264411505	466		17593	SH	SOLE	13		17593	0	0
DUKE REALTY CORP	COM NEW	264411505	437		16485	SH	SOLE	15		16485	0	0
DUKE REALTY CORP	COM NEW	264411505	22554		851746	SH	SOLE	18		805129	0	46617
DUKE REALTY CORP	COM NEW	264411505	15126		571206	SH	SOLE	19		571206	0	0
DUKE REALTY CORP	COM NEW	264411505	5399		203895	SH	SOLE	20		0	0	203895
DUKE REALTY CORP	COM NEW	264411505	293476		11082926	SH	SOLE	21		11082926	0	0
DUKE REALTY CORP	COM NEW	264411505	418373		15799583	SH	SOLE	22		13840756	0	1958827
DUKE REALTY CORP	COM NEW	264411505	14411		544205	SH	SOLE	23		544205	0	0
DUKE REALTY CORP	COM NEW	264411505	27568		1041086	SH	SOLE	25		1041086	0	0
DUKE REALTY CORP	COM NEW	264411505	30206		1140721	SH	SOLE	26		416013	0	724708
DUKE REALTY CORP	COM NEW	264411505	1413		53373	SH	SOLE	28		53373	0	0
DUKE REALTY CORP	COM NEW	264411505	6355		239991	SH	SOLE	29		151097	0	88894
DUKE REALTY CORP	COM NEW	264411505	71431		2697529	SH	SOLE	30		2697529	0	0
DUKE REALTY CORP	COM NEW	264411505	3929		148358	SH	SOLE	31		75689	0	72669
DUKE REALTY CORP	COM NEW	264411505	5269		198983	SH	SOLE	34		198983	0	0
DUKE REALTY CORP	COM NEW	264411505	8049		303947	SH	SOLE	36		303947	0	0
DUKE REALTY CORP	COM NEW	264411505	189		7136	SH	SOLE	40		7136	0	0
DULUTH HLDGS INC	COM CL B	26443V101	9		474	SH	SOLE	2		474	0	0
DULUTH HLDGS INC	COM CL B	26443V101	605		32295	SH	SOLE	18		32295	0	0
DULUTH HLDGS INC	COM CL B	26443V101	153		8149	SH	SOLE	19		8149	0	0
DULUTH HLDGS INC	COM CL B	26443V101	5718		305298	SH	SOLE	21		305298	0	0
DULUTH HLDGS INC	COM CL B	26443V101	6913		369097	SH	SOLE	22		347243	0	21854
DULUTH HLDGS INC	COM CL B	26443V101	24		1299	SH	SOLE	26		0	0	1299
DULUTH HLDGS INC	COM CL B	26443V101	38		2036	SH	SOLE	28		2036	0	0
DULUTH HLDGS INC	COM CL B	26443V101	89		4731	SH	SOLE	30		4731	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	4492		38391	SH	SOLE	2		22879	0	15512
DUN & BRADSTREET CORP DEL NE	COM	26483E100	190		1625	SH	SOLE	4		1625	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	154		1314	SH	SOLE	7		1314	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	31		266	SH	SOLE	15		266	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	14954		127813	SH	SOLE	18		127677	0	136
DUN & BRADSTREET CORP DEL NE	COM	26483E100	684		5843	SH	SOLE	19		5843	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	197239		1685804	SH	SOLE	21		1685804	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	155238		1326818	SH	SOLE	22		1189862	0	136956
DUN & BRADSTREET CORP DEL NE	COM	26483E100	269		2297	SH	SOLE	23		2297	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	3154		26955	SH	SOLE	25		26955	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	5111		43681	SH	SOLE	26		16743	0	26938
DUN & BRADSTREET CORP DEL NE	COM	26483E100	583		4987	SH	SOLE	28		4987	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	79		678	SH	SOLE	29		678	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	841		7187	SH	SOLE	30		7187	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	327		2791	SH	SOLE	31		1881	0	910
DUN & BRADSTREET CORP DEL NE	COM	26483E100	160		1365	SH	SOLE	34		1365	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	3345		28593	SH	SOLE	36		28593	0	0
DUN & BRADSTREET CORP DEL NE	COM	26483E100	477		4078	SH	SOLE	40		4078	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	4296		71977	SH	SOLE	2		42461	0	29516
DUNKIN BRANDS GROUP INC	COM	265504100	26		439	SH	SOLE	4		439	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	132		2209	SH	SOLE	7		2209	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	16372		274291	SH	SOLE	18		274291	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	817		13680	SH	SOLE	19		13680	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	229796		3849831	SH	SOLE	21		3849831	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	174038		2915698	SH	SOLE	22		2608018	0	307680
DUNKIN BRANDS GROUP INC	COM	265504100	1475		24711	SH	SOLE	26		14052	0	10659
DUNKIN BRANDS GROUP INC	COM	265504100	746		12496	SH	SOLE	28		12496	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	89		1495	SH	SOLE	29		0	0	1495
DUNKIN BRANDS GROUP INC	COM	265504100	1046		17519	SH	SOLE	30		17519	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	115		1934	SH	SOLE	31		1934	0	0
DUNKIN BRANDS GROUP INC	COM	265504100	603		10110	SH	SOLE	40		10110	0	0
DURECT CORP	COM	266605104	87		40668	SH	SOLE	2		40005	0	663
DURECT CORP	COM	266605104	6		2742	SH	SOLE	7		2742	0	0
DURECT CORP	COM	266605104	1066		498051	SH	SOLE	18		498051	0	0
DURECT CORP	COM	266605104	989		462234	SH	SOLE	19		462234	0	0
DURECT CORP	COM	266605104	9666		4516937	SH	SOLE	21		4516937	0	0
DURECT CORP	COM	266605104	11306		5283327	SH	SOLE	22		5125327	0	158000
DURECT CORP	COM	266605104	288		134643	SH	SOLE	23		134643	0	0
DURECT CORP	COM	266605104	877		409742	SH	SOLE	26		0	0	409742
DURECT CORP	COM	266605104	283		132428	SH	SOLE	29		0	0	132428
DXC TECHNOLOGY CO	COM	23355L106	34502		343199	SH	SOLE	2		80949	0	262250
DXC TECHNOLOGY CO	COM	23355L106	9112		90644	SH	SOLE	4		83874	0	6770
DXC TECHNOLOGY CO	COM	23355L106	21767		216524	SH	SOLE	7		213143	0	3381
DXC TECHNOLOGY CO	COM	23355L106	539		5360	SH	SOLE	13		5360	0	0
DXC TECHNOLOGY CO	COM	23355L106	254		2531	SH	SOLE	15		2531	0	0
DXC TECHNOLOGY CO	COM	23355L106	60094		597768	SH	SOLE	18		560218	0	37550
DXC TECHNOLOGY CO	COM	23355L106	14949		148701	SH	SOLE	19		148701	0	0
DXC TECHNOLOGY CO	COM	23355L106	10712		106551	SH	SOLE	20		0	0	106551
DXC TECHNOLOGY CO	COM	23355L106	634980		6316319	SH	SOLE	21		6316319	0	0
DXC TECHNOLOGY CO	COM	23355L106	779833		7757212	SH	SOLE	22		6414735	0	1342477
DXC TECHNOLOGY CO	COM	23355L106	35127		349416	SH	SOLE	23		349416	0	0
DXC TECHNOLOGY CO	COM	23355L106	23324		232009	SH	SOLE	25		232009	0	0
DXC TECHNOLOGY CO	COM	23355L106	86729		862718	SH	SOLE	26		283721	0	578997
DXC TECHNOLOGY CO	COM	23355L106	4312		42894	SH	SOLE	28		42894	0	0
DXC TECHNOLOGY CO	COM	23355L106	777		7725	SH	SOLE	29		7725	0	0
DXC TECHNOLOGY CO	COM	23355L106	102796		1022536	SH	SOLE	30		1022536	0	0
DXC TECHNOLOGY CO	COM	23355L106	15362		152810	SH	SOLE	31		54796	0	98014
DXC TECHNOLOGY CO	COM	23355L106	6946		69098	SH	SOLE	34		69098	0	0
DXC TECHNOLOGY CO	COM	23355L106	27514		273688	SH	SOLE	36		273688	0	0
DXC TECHNOLOGY CO	COM	23355L106	574		5714	SH	SOLE	40		5714	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	56		1431	SH	SOLE	2		662	0	769
DXP ENTERPRISES INC NEW	COM NEW	233377407	12		302	SH	SOLE	7		302	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	2852		73232	SH	SOLE	18		73232	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	474		12157	SH	SOLE	19		12157	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	58232		1495040	SH	SOLE	21		1495040	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	15806		405800	SH	SOLE	22		380973	0	24827
DXP ENTERPRISES INC NEW	COM NEW	233377407	21		530	SH	SOLE	26		0	0	530
DXP ENTERPRISES INC NEW	COM NEW	233377407	76		1953	SH	SOLE	28		1953	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	889		22822	SH	SOLE	30		22822	0	0
DXP ENTERPRISES INC NEW	COM NEW	233377407	50		1293	SH	SOLE	40		1293	0	0
DYCOM INDS INC	COM	267475101	1497		13911	SH	SOLE	2		13671	0	240
DYCOM INDS INC	COM	267475101	22		202	SH	SOLE	4		202	0	0
DYCOM INDS INC	COM	267475101	2340		21743	SH	SOLE	7		21743	0	0
DYCOM INDS INC	COM	267475101	19858		184503	SH	SOLE	18		184503	0	0
DYCOM INDS INC	COM	267475101	2526		23472	SH	SOLE	19		23472	0	0
DYCOM INDS INC	COM	267475101	216853		2014802	SH	SOLE	21		2014802	0	0
DYCOM INDS INC	COM	267475101	108566		1008693	SH	SOLE	22		952965	0	55728
DYCOM INDS INC	COM	267475101	1067		9911	SH	SOLE	26		5566	0	4345
DYCOM INDS INC	COM	267475101	451		4189	SH	SOLE	28		4189	0	0
DYCOM INDS INC	COM	267475101	630		5855	SH	SOLE	30		5855	0	0
DYCOM INDS INC	COM	267475101	391		3635	SH	SOLE	40		3635	0	0
DYCOM INDS INC	NOTE 0.750% 9/1	267475AB7	1253		990000	PRN	SOLE	21		990000	0	0
DYNASIL CORP AMER	COM	268102100	10		7713	SH	SOLE	21		7713	0	0
DYNATRONICS CORP	COM NEW	268157401	66		22086	SH	SOLE	22		22086	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	234		11793	SH	SOLE	2		2563	0	9230
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	24		1191	SH	SOLE	7		1191	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	4294		216345	SH	SOLE	18		216345	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	936		47168	SH	SOLE	19		47168	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	39546		1992251	SH	SOLE	21		1992251	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	30963		1559861	SH	SOLE	22		1453359	0	106502
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	136		6866	SH	SOLE	26		0	0	6866
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	243		12241	SH	SOLE	28		12241	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	225		11335	SH	SOLE	30		11335	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	21		1061	SH	SOLE	34		1061	0	0
DYNAVAX TECHNOLOGIES CORP	COM NEW	268158201	93		4676	SH	SOLE	40		4676	0	0
DYNEGY INC NEW DEL	COM	26817R108	1875		138703	SH	SOLE	2		117014	0	21689
DYNEGY INC NEW DEL	COM	26817R108	7		552	SH	SOLE	4		552	0	0
DYNEGY INC NEW DEL	COM	26817R108	80		5914	SH	SOLE	7		5914	0	0
DYNEGY INC NEW DEL	COM	26817R108	5917		437616	SH	SOLE	18		437616	0	0
DYNEGY INC NEW DEL	COM	26817R108	1351		99958	SH	SOLE	19		99958	0	0
DYNEGY INC NEW DEL	COM	26817R108	54801		4053362	SH	SOLE	21		4053362	0	0
DYNEGY INC NEW DEL	COM	26817R108	49014		3625303	SH	SOLE	22		3370086	0	255217
DYNEGY INC NEW DEL	COM	26817R108	550		40709	SH	SOLE	26		4636	0	36073
DYNEGY INC NEW DEL	COM	26817R108	255		18872	SH	SOLE	28		18872	0	0
DYNEGY INC NEW DEL	COM	26817R108	339		25053	SH	SOLE	30		25053	0	0
DYNEGY INC NEW DEL	COM	26817R108	86		6346	SH	SOLE	36		6346	0	0
DYNEGY INC NEW DEL	COM	26817R108	137		10157	SH	SOLE	40		10157	0	0
DYNEX CAP INC	COM NEW	26817Q506	14		2047	SH	SOLE	2		2047	0	0
DYNEX CAP INC	COM NEW	26817Q506	1182		178231	SH	SOLE	18		178231	0	0
DYNEX CAP INC	COM NEW	26817Q506	282		42569	SH	SOLE	19		42569	0	0
DYNEX CAP INC	COM NEW	26817Q506	17463		2633919	SH	SOLE	21		2633919	0	0
DYNEX CAP INC	COM NEW	26817Q506	212		31990	SH	SOLE	22		0	0	31990
DYNEX CAP INC	COM NEW	26817Q506	332		50072	SH	SOLE	26		35244	0	14828
DYNEX CAP INC	COM NEW	26817Q506	48		7287	SH	SOLE	28		7287	0	0
DYNEX CAP INC	COM NEW	26817Q506	70		10529	SH	SOLE	30		10529	0	0
DYNEX CAP INC	COM NEW	26817Q506	34		5200	SH	SOLE	40		5200	0	0
E L F BEAUTY INC	COM	26856L103	18		930	SH	SOLE	2		820	0	110
E L F BEAUTY INC	COM	26856L103	13		695	SH	SOLE	7		695	0	0
E L F BEAUTY INC	COM	26856L103	1291		66667	SH	SOLE	18		66667	0	0
E L F BEAUTY INC	COM	26856L103	325		16798	SH	SOLE	19		16798	0	0
E L F BEAUTY INC	COM	26856L103	12020		620569	SH	SOLE	21		620569	0	0
E L F BEAUTY INC	COM	26856L103	12351		637619	SH	SOLE	22		600935	0	36684
E L F BEAUTY INC	COM	26856L103	96		4953	SH	SOLE	30		4953	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	20521		370348	SH	SOLE	2		65251	0	305097
E TRADE FINANCIAL CORP	COM NEW	269246401	4667		84226	SH	SOLE	4		78146	0	6080
E TRADE FINANCIAL CORP	COM NEW	269246401	11011		198718	SH	SOLE	7		186342	0	12376
E TRADE FINANCIAL CORP	COM NEW	269246401	372		6719	SH	SOLE	13		6719	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	119		2144	SH	SOLE	15		2144	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	107422		1938667	SH	SOLE	18		1807798	0	130869
E TRADE FINANCIAL CORP	COM NEW	269246401	72655		1311228	SH	SOLE	19		1311228	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	7112		128352	SH	SOLE	20		0	0	128352
E TRADE FINANCIAL CORP	COM NEW	269246401	320907		5791506	SH	SOLE	21		5791506	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	439638		7934272	SH	SOLE	22		6604360	0	1329912
E TRADE FINANCIAL CORP	COM NEW	269246401	19748		356392	SH	SOLE	23		356392	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	14645		264296	SH	SOLE	25		232628	0	31668
E TRADE FINANCIAL CORP	COM NEW	269246401	44498		803072	SH	SOLE	26		319164	0	483908
E TRADE FINANCIAL CORP	COM NEW	269246401	2205		39790	SH	SOLE	28		39790	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	4082		73665	SH	SOLE	29		6092	0	67573
E TRADE FINANCIAL CORP	COM NEW	269246401	53959		973805	SH	SOLE	30		973805	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	5589		100872	SH	SOLE	31		54765	0	46107
E TRADE FINANCIAL CORP	COM NEW	269246401	58791		1061009	SH	SOLE	34		1061009	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	15385		277660	SH	SOLE	36		277660	0	0
E TRADE FINANCIAL CORP	COM NEW	269246401	306		5515	SH	SOLE	40		5515	0	0
EAGLE BANCORP INC MD	COM	268948106	351		5863	SH	SOLE	2		4900	0	963
EAGLE BANCORP INC MD	COM	268948106	9		148	SH	SOLE	4		148	0	0
EAGLE BANCORP INC MD	COM	268948106	45		749	SH	SOLE	7		749	0	0
EAGLE BANCORP INC MD	COM	268948106	6030		100757	SH	SOLE	18		100757	0	0
EAGLE BANCORP INC MD	COM	268948106	2126		35523	SH	SOLE	19		35523	0	0
EAGLE BANCORP INC MD	COM	268948106	56931		951230	SH	SOLE	21		951230	0	0
EAGLE BANCORP INC MD	COM	268948106	55497		927265	SH	SOLE	22		869759	0	57506
EAGLE BANCORP INC MD	COM	268948106	1613		26958	SH	SOLE	23		26958	0	0
EAGLE BANCORP INC MD	COM	268948106	409		6830	SH	SOLE	26		3847	0	2983
EAGLE BANCORP INC MD	COM	268948106	269		4492	SH	SOLE	28		4492	0	0
EAGLE BANCORP INC MD	COM	268948106	329		5505	SH	SOLE	29		0	0	5505
EAGLE BANCORP INC MD	COM	268948106	377		6306	SH	SOLE	30		6306	0	0
EAGLE BANCORP INC MD	COM	268948106	199		3333	SH	SOLE	40		3333	0	0
EAGLE BANCORP MONT INC	COM	26942G100	18		868	SH	SOLE	18		868	0	0
EAGLE BANCORP MONT INC	COM	26942G100	18		850	SH	SOLE	21		850	0	0
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	25		4978	SH	SOLE	2		1279	0	3699
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	672		135691	SH	SOLE	18		135691	0	0
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	150		30390	SH	SOLE	19		30390	0	0
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	5869		1185678	SH	SOLE	21		1185678	0	0
EAGLE BULK SHIPPING INC	SHS NEW	Y2187A143	1749		353288	SH	SOLE	22		324782	0	28506
EAGLE MATERIALS INC	COM	26969P108	3932		38157	SH	SOLE	2		22863	0	15294
EAGLE MATERIALS INC	COM	26969P108	21		203	SH	SOLE	4		203	0	0
EAGLE MATERIALS INC	COM	26969P108	120		1161	SH	SOLE	7		1161	0	0
EAGLE MATERIALS INC	COM	26969P108	16380		158955	SH	SOLE	18		158955	0	0
EAGLE MATERIALS INC	COM	26969P108	725		7036	SH	SOLE	19		7036	0	0
EAGLE MATERIALS INC	COM	26969P108	251226		2437908	SH	SOLE	21		2437908	0	0
EAGLE MATERIALS INC	COM	26969P108	165224		1603341	SH	SOLE	22		1443738	0	159603
EAGLE MATERIALS INC	COM	26969P108	1267		12299	SH	SOLE	26		6534	0	5765
EAGLE MATERIALS INC	COM	26969P108	693		6727	SH	SOLE	28		6727	0	0
EAGLE MATERIALS INC	COM	26969P108	978		9488	SH	SOLE	30		9488	0	0
EAGLE MATERIALS INC	COM	26969P108	105		1022	SH	SOLE	31		1022	0	0
EAGLE MATERIALS INC	COM	26969P108	560		5433	SH	SOLE	40		5433	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	24		455	SH	SOLE	2		339	0	116
EAGLE PHARMACEUTICALS INC	COM	269796108	10		191	SH	SOLE	7		191	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	1891		35890	SH	SOLE	18		35890	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	347		6579	SH	SOLE	19		6579	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	49993		948822	SH	SOLE	21		948822	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	12764		242250	SH	SOLE	22		228167	0	14083
EAGLE PHARMACEUTICALS INC	COM	269796108	38		713	SH	SOLE	26		0	0	713
EAGLE PHARMACEUTICALS INC	COM	269796108	66		1245	SH	SOLE	28		1245	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	623		11825	SH	SOLE	30		11825	0	0
EAGLE PHARMACEUTICALS INC	COM	269796108	44		833	SH	SOLE	40		833	0	0
