13F	0001364742	BlackRockInc.	2018-05-09
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
3M CO	COM	88579Y101	41896		190853	SH	SOLE	34		190853	0	0
3M CO	COM	88579Y101	127385		580290	SH	SOLE	36		580290	0	0
3M CO	COM	88579Y101	1455		6628	SH	SOLE	37		6628	0	0
3M CO	COM	88579Y101	2541		11574	SH	SOLE	40		11574	0	0
500 COM LTD	SPON ADR REP A	33829R100	70		4075	SH	SOLE	4		4075	0	0
500 COM LTD	SPON ADR REP A	33829R100	211		12297	SH	SOLE	21		12297	0	0
500 COM LTD	SPON ADR REP A	33829R100	1563		91076	SH	SOLE	22		91076	0	0
500 COM LTD	SPON ADR REP A	33829R100	848		49408	SH	SOLE	30		49408	0	0
51JOB INC	SP ADR REP COM	316827104	365		4242	SH	SOLE	4		4242	0	0
51JOB INC	SP ADR REP COM	316827104	25656		298185	SH	SOLE	21		298185	0	0
51JOB INC	SP ADR REP COM	316827104	9384		109060	SH	SOLE	22		109060	0	0
51JOB INC	SP ADR REP COM	316827104	6080		70666	SH	SOLE	30		70666	0	0
58 COM INC	SPON ADR REP A	31680Q104	2104		26342	SH	SOLE	2		2764	0	23578
58 COM INC	SPON ADR REP A	31680Q104	1877		23509	SH	SOLE	4		23509	0	0
58 COM INC	SPON ADR REP A	31680Q104	882		11050	SH	SOLE	7		11050	0	0
58 COM INC	SPON ADR REP A	31680Q104	2841		35570	SH	SOLE	15		35570	0	0
58 COM INC	SPON ADR REP A	31680Q104	2055		25729	SH	SOLE	18		25729	0	0
58 COM INC	SPON ADR REP A	31680Q104	8845		110756	SH	SOLE	19		110756	0	0
58 COM INC	SPON ADR REP A	31680Q104	145210		1818303	SH	SOLE	21		1818303	0	0
58 COM INC	SPON ADR REP A	31680Q104	85079		1065347	SH	SOLE	22		961693	0	103654
58 COM INC	SPON ADR REP A	31680Q104	7872		98574	SH	SOLE	23		98574	0	0
58 COM INC	SPON ADR REP A	31680Q104	2399		30045	SH	SOLE	25		30045	0	0
58 COM INC	SPON ADR REP A	31680Q104	24557		307496	SH	SOLE	26		55356	0	252140
58 COM INC	SPON ADR REP A	31680Q104	975		12204	SH	SOLE	28		12204	0	0
58 COM INC	SPON ADR REP A	31680Q104	2580		32309	SH	SOLE	29		21754	0	10555
58 COM INC	SPON ADR REP A	31680Q104	42093		527081	SH	SOLE	30		527081	0	0
58 COM INC	SPON ADR REP A	31680Q104	4826		60425	SH	SOLE	31		5391	0	55034
58 COM INC	SPON ADR REP A	31680Q104	481		6019	SH	SOLE	32		6019	0	0
58 COM INC	SPON ADR REP A	31680Q104	5000		62613	SH	SOLE	34		62613	0	0
58 COM INC	SPON ADR REP A	31680Q104	34		432	SH	SOLE	40		432	0	0
8POINT3 ENERGY PARTNERS LP	CL A RPT LTDPT	282539105	130		10728	SH	SOLE	21		10728	0	0
8POINT3 ENERGY PARTNERS LP	CL A RPT LTDPT	282539105	108		8904	SH	SOLE	26		0	0	8904
8POINT3 ENERGY PARTNERS LP	CL A RPT LTDPT	282539105	34		2803	SH	SOLE	28		2803	0	0
8POINT3 ENERGY PARTNERS LP	CL A RPT LTDPT	282539105	87		7177	SH	SOLE	30		7177	0	0
8X8 INC NEW	COM	282914100	82		4395	SH	SOLE	2		3716	0	679
8X8 INC NEW	COM	282914100	14		725	SH	SOLE	4		725	0	0
8X8 INC NEW	COM	282914100	43		2307	SH	SOLE	7		2307	0	0
8X8 INC NEW	COM	282914100	7311		392034	SH	SOLE	18		392034	0	0
8X8 INC NEW	COM	282914100	1302		69808	SH	SOLE	19		69808	0	0
8X8 INC NEW	COM	282914100	155270		8325449	SH	SOLE	21		8325449	0	0
8X8 INC NEW	COM	282914100	46335		2484436	SH	SOLE	22		2327633	0	156803
8X8 INC NEW	COM	282914100	726		38938	SH	SOLE	26		34365	0	4573
8X8 INC NEW	COM	282914100	241		12935	SH	SOLE	28		12935	0	0
8X8 INC NEW	COM	282914100	2399		128641	SH	SOLE	30		128641	0	0
8X8 INC NEW	COM	282914100	197		10544	SH	SOLE	40		10544	0	0
A H BELO CORP	COM CL A	001282102	16		3123	SH	SOLE	18		3123	0	0
A H BELO CORP	COM CL A	001282102	289		56083	SH	SOLE	21		56083	0	0
A H BELO CORP	COM CL A	001282102	2709		526082	SH	SOLE	22		526082	0	0
A MARK PRECIOUS METALS INC	COM	00181T107	9		700	SH	SOLE	18		700	0	0
A MARK PRECIOUS METALS INC	COM	00181T107	135		10987	SH	SOLE	21		10987	0	0
A MARK PRECIOUS METALS INC	COM	00181T107	50		4088	SH	SOLE	22		4088	0	0
A10 NETWORKS INC	COM	002121101	420		72144	SH	SOLE	2		71890	0	254
A10 NETWORKS INC	COM	002121101	6		1036	SH	SOLE	7		1036	0	0
A10 NETWORKS INC	COM	002121101	1022		175606	SH	SOLE	18		175606	0	0
A10 NETWORKS INC	COM	002121101	3755		645178	SH	SOLE	19		645178	0	0
A10 NETWORKS INC	COM	002121101	9546		1640280	SH	SOLE	21		1640280	0	0
A10 NETWORKS INC	COM	002121101	16710		2871101	SH	SOLE	22		2771574	0	99527
A10 NETWORKS INC	COM	002121101	1543		265068	SH	SOLE	23		265068	0	0
A10 NETWORKS INC	COM	002121101	2463		423120	SH	SOLE	26		0	0	423120
A10 NETWORKS INC	COM	002121101	27		4609	SH	SOLE	28		4609	0	0
A10 NETWORKS INC	COM	002121101	494		84861	SH	SOLE	29		0	0	84861
A10 NETWORKS INC	COM	002121101	54		9321	SH	SOLE	30		9321	0	0
AAC HLDGS INC	COM	000307108	28		2442	SH	SOLE	2		454	0	1988
AAC HLDGS INC	COM	000307108	2		174	SH	SOLE	7		174	0	0
AAC HLDGS INC	COM	000307108	427		37188	SH	SOLE	18		37188	0	0
AAC HLDGS INC	COM	000307108	98		8556	SH	SOLE	19		8556	0	0
AAC HLDGS INC	COM	000307108	4400		383286	SH	SOLE	21		383286	0	0
AAC HLDGS INC	COM	000307108	2848		248110	SH	SOLE	22		234492	0	13618
AAON INC	COM PAR $0.004	000360206	67		1725	SH	SOLE	2		1725	0	0
AAON INC	COM PAR $0.004	000360206	8		209	SH	SOLE	4		209	0	0
AAON INC	COM PAR $0.004	000360206	43		1113	SH	SOLE	7		1113	0	0
AAON INC	COM PAR $0.004	000360206	7002		179543	SH	SOLE	18		179543	0	0
AAON INC	COM PAR $0.004	000360206	1258		32255	SH	SOLE	19		32255	0	0
AAON INC	COM PAR $0.004	000360206	145027		3718641	SH	SOLE	21		3718641	0	0
AAON INC	COM PAR $0.004	000360206	44306		1136046	SH	SOLE	22		1061587	0	74459
AAON INC	COM PAR $0.004	000360206	715		18340	SH	SOLE	26		15487	0	2853
AAON INC	COM PAR $0.004	000360206	238		6115	SH	SOLE	28		6115	0	0
AAON INC	COM PAR $0.004	000360206	2196		56318	SH	SOLE	30		56318	0	0
AAON INC	COM PAR $0.004	000360206	184		4716	SH	SOLE	40		4716	0	0
AAR CORP	COM	000361105	671		15221	SH	SOLE	2		1337	0	13884
AAR CORP	COM	000361105	3		66	SH	SOLE	4		66	0	0
AAR CORP	COM	000361105	29		657	SH	SOLE	7		657	0	0
AAR CORP	COM	000361105	6559		148694	SH	SOLE	18		148694	0	0
AAR CORP	COM	000361105	1175		26630	SH	SOLE	19		26630	0	0
AAR CORP	COM	000361105	189986		4307098	SH	SOLE	21		4307098	0	0
AAR CORP	COM	000361105	40419		916317	SH	SOLE	22		845880	0	70437
AAR CORP	COM	000361105	633		14342	SH	SOLE	26		5768	0	8574
AAR CORP	COM	000361105	212		4796	SH	SOLE	28		4796	0	0
AAR CORP	COM	000361105	1988		45060	SH	SOLE	30		45060	0	0
AAR CORP	COM	000361105	158		3586	SH	SOLE	40		3586	0	0
AARONS INC	COM PAR $0.50	002535300	2169		46554	SH	SOLE	2		36180	0	10374
AARONS INC	COM PAR $0.50	002535300	48		1021	SH	SOLE	4		1021	0	0
AARONS INC	COM PAR $0.50	002535300	63		1344	SH	SOLE	7		1344	0	0
AARONS INC	COM PAR $0.50	002535300	18376		394325	SH	SOLE	18		394325	0	0
AARONS INC	COM PAR $0.50	002535300	3795		81446	SH	SOLE	19		81446	0	0
AARONS INC	COM PAR $0.50	002535300	186358		3999098	SH	SOLE	21		3999098	0	0
AARONS INC	COM PAR $0.50	002535300	108057		2318819	SH	SOLE	22		2193182	0	125637
AARONS INC	COM PAR $0.50	002535300	1730		37118	SH	SOLE	23		37118	0	0
AARONS INC	COM PAR $0.50	002535300	1547		33203	SH	SOLE	26		6447	0	26756
